name	id	max_length	max_width	island_group	body_of_water
Coronation Island	/m/080y34			South Orkney Islands	
Farudhulhudhoo	/m/07py0s				
Latady Island	/m/080f9k				
Desecheo Island	/m/08l4dg				
Dhiggaru	/m/07pwj9				
Kunburudhoo	/m/076wtv				
Maafushi	/m/076tyt				
Gaadhiffushi	/m/076q5f				
Filladhoo	/m/076yg7				
Spaatz Island	/m/073_r2				
Melita	/m/0hz_f24				Flathead Lake
Old Rhodes Key	/m/0gzyt0			Florida Keys	
West Cay	/m/0hz0ntj			Lesser Antilles,Islands of Anguilla,Leeward Islands	
Elephant Butte	/m/0hz_y35				Elephant Butte Reservoir
Badakuda	/m/0hzy83v				Chilka Lake
Île Longue	/m/0hzhr0j			Kerguelen Islands	Indian Ocean
Strogyli Kasou	/m/0hypkn3			Dodecanese	
Eastern Island	/m/0hypj0q			Hawaiian Islands	
Churchill Island, Victoria	/m/0g1wvq				
Loon Island	/m/0hzy4cl				Winnisquam Lake
Acton Island	/m/0hzyd68				Lake Muskoka
Coin du Mire	/m/0hzhm8q			Chagos Archipelago	Indian Ocean
Fork Island	/m/0hzzkby			Glen Island	Lake George
Soldier Key	/m/0g_j9f			Florida Keys	
Zverinac	/m/0h64q_				
Kigul Island	/m/0hz05d3			Aleutian Islands,Fox Islands	
Kanahā Rock	/m/0hyn760			Hawaiian Islands	
Sheep Island	/m/0hzx4pg				Squam Lake
Buck Island	/m/0hz05bq			Aleutian Islands,Fox Islands	
Brown Island	/m/0gvd5r			San Juan Islands	
Siyavash Island	/m/0h_6nz7				Lake Urmia
Charles Island	/m/0hyq0p4			San Juan Islands	
Brat	/m/0hz8w28				Sea of Okhotsk
Bentinck Island, Queensland	/m/0hzctmg				Gulf of Carpentaria
Dwarf	/m/0hzy6kz				Lake Volta
R. Thompson's Island, Pennsylvania	/m/0h383_				
Cayo Alacranes	/m/0hz0nzf			Antilles,Greater Antilles,Colorados Archipelago	
Inch Kenneth	/m/07204c			British Isles,Inner Hebrides	
Karkar Island	/m/071nr6				Bismarck Sea
Timor	/m/07jtx			Lesser Sunda Islands	Pacific Ocean
Bileddhoo	/m/076s9z				
Papuri	/m/0746l6n			Tuamotu-Gambier Islands	
Pasumpahan	/m/05xxk6				
Kitanojima	/m/063t8zq			Ogasawara Islands	
Rolas	/m/05r8z6				
São Pedro	/m/05whpp				
Geoje Island	/m/06fm2x				
Mandø	/m/062008				
West Wallabi Island	/m/05c31d_				Indian Ocean
Sunday Island	/m/05zxgd7			Canadian Arctic Archipelago	
Little Whale Cay	/m/063yj7k				
Belden Island	/m/0cfktq				
Holiday Island	/m/0cc6kwx				
Big Bone Island	/m/0cxskd				
Jomfruland	/m/0c9yhv				
Zealand	/m/0cvzl				
Qasse Island	/m/0dlksgl				Baffin Bay
Campbell Island, Torres Strait	/m/0djn95			Torres Strait Islands	Torres Strait,Pacific Ocean
Othonoi	/m/0ctgkx			Ionian Islands	
Ross Island	/m/0c40fvb				
Rineia	/m/0cthdh			Cyclades	Aegean Sea
Kavvayi	/m/0cxgpf				
Marakei	/m/0d6m75			Gilbert Islands	Pacific Ocean
Saattoq Island	/m/0dlllxt				Baffin Bay
Oxeia	/m/0ctgn9			Ionian Islands	
Giganteus Island	/m/0cp13lb				
Havrå	/m/0cgxmv				
Andree Island	/m/0dgr_xp				
Longue Vue Island	/m/0c7knk				
Welch Island	/m/081z05				
Humble Island	/m/080dd4			Palmer Archipelago	
Mehran Island	/m/0h_6nwq				Lake Urmia
Vendovi Island	/m/0gwbj3				
Bozorg-tappeh	/m/0h_6ns7				Lake Urmia
Haţeg Island	/m/0gflps				
Mandioli	/m/0gf945c			Bacan	
Tenasserim Island	/m/0hr33zz				Andaman Sea,Indian Ocean
Samani Island	/m/0h_6ny3				Lake Urmia
Eta Island	/m/0dgnsb9			Palmer Archipelago	
Grinnell Island	/m/0drzm_f				
Balcalhoa Island, Newfoundland and Labrador	/m/0dq1bg				
Ugamak Island	/m/0bx7zh			Fox Islands	
Mantigue Island	/m/0c3_n4_				
Pickwick Island	/m/0ds4tz4				
Pot Island	/m/0cfk3y			Thimble Islands	
Tussock Island	/m/0drz4b_				
Davidson Island	/m/0dsdvn7				
Lacey Island, Queensland	/m/0ddnxw			Torres Strait Islands	Torres Strait,Pacific Ocean
Dint Island	/m/0ds6896				
Spinnaker Island	/m/0265y3d			Boston Harbor Islands	Boston Harbor
Spanish Harbor Key	/m/025v0_x			Florida Keys	
Drysdale Island	/m/025_lg3				
Ærø	/m/023hbq				
Langli	/m/0268js5				
Isle aux Herbes	/m/0265j4j				
Barton Island	/m/07n5nn				
Bartlett Rock	/m/07n587				
Makunueri	/m/07pxr2				
Kapas Island	/m/06jpbw				
Elafonisos	/m/0772fj			Ionian Islands	Aegean Sea
Nosy Be	/m/06lf9g				
Milandhoo	/m/076wg0				
Île Saint-Joseph	/m/07jjvt				Atlantic Ocean
Totengengie	/m/0746l3y			Tuamotu-Gambier Islands	
Fenrahaa	/m/07py1g				
Alleghany Rock	/m/07mcdn				
Lady Musgrave Island	/m/09r_kc				
Totoya	/m/0920wr				Pacific Ocean
Tiburón Island	/m/09sdvj				
Kandholhudhoo	/m/076vm1				
Kudhébondeyyo	/m/07pyf4				
Spike Island, County Cork	/m/06vzlw				
Khong Island	/m/07kh3z				
Maroshi	/m/076wd_				
Pladda	/m/06jfy4				
Rashukolhuhuraa	/m/07pwvq				
Beyrumaddoo	/m/07pxwz				
Nassau	/m/07g5wr				Pacific Ocean
Three and One-half Fathom Ledge	/m/07m7mv				
Trwynmynachdy	/m/059xx8				
Kolbeinsey	/m/061jqr				
Akamaru	/m/05660r			Tuamotu-Gambier Islands,Gambier Islands	
Panaitan	/m/05b1mqp				
Estreito de Câmara de Lobos	/m/05r8lt				
Cornwall Island	/m/0555vz			Canadian Arctic Archipelago	
Tunø	/m/06291h				
Boaddoo	/m/07pxxn				
Dhevvalaabadhoo	/m/07pxz0	0.73	4.5		
Woodah Island	/m/07xxrs				
Ardery Island	/m/08ln24			Windmill Islands	
Anvers Island	/m/07yrn8			Palmer Archipelago	
Dhoonidhoo	/m/07pz_7				
Meloria	/m/08h66c				
Vilkitskogo Island	/m/0b3krt				
Ap Chau	/m/09btmr				
Adamasta Rock	/m/09ctb9				
Liu Kung Island	/m/09wd_h				
Thoddoo	/m/076tpd				
Ilhéu das Rolas	/m/07mwft				
Peel Island	/m/07nw84				
Archer Rock	/m/07mdqk				Pacific Ocean
Kalhehuttaa	/m/07py7_				
Huraagandu	/m/07p_5v				
Waigeo	/m/06r5v0			Raja Ampat Islands	
Donoussa	/m/07bmj9			Donoussa	Aegean Sea
Raimmandhoo	/m/076sqx				
Donsö	/m/06y9zw			Gothenburg Archipelago	
Speakers Bank	/m/068bg6				
Sal	/m/053403	30.0	12.0	Barlavento,Cape Verde	Atlantic Ocean
Tåsinge	/m/05_t0r				
Burry Holms	/m/058vcy				
São Martinho	/m/05w3q4				
Ponta Delgada	/m/05jkyx				
Wallops Island	/m/052yqf				
Tobacco Caye	/m/05c3p1c				
